id,camera_id,title,river,location,lat,lon,image_url,live_url,page_url,provider
japan-river-webcam-221531094,221531094,荻島,信濃川下流,新潟県三条市荻島,37.669974,138.983259,https://cam.river.go.jp/cam/now/cctv_150002_41C02229.jpg,,https://www.river.go.jp/kawabou/pc/tm?zm=13&fld=0&mapType=0&viewGrpStg=0&viewRd=1&viewRW=1&viewRiver=1&viewPoint=1&ext=0&itmkndCd=200&scamId=221531094&ownCd=21531&sysCamId=21531094,信濃川下流河川事務所・国土交通省 川の防災情報
japan-river-webcam-222819079,222819079,荻野,嘉瀬川,佐賀県佐賀市,33.245552777,130.245275,https://cam.river.go.jp/cam/now/cctv_410004_91C02252.jpg,,https://www.river.go.jp/kawabou/pc/tm?zm=13&fld=0&mapType=0&viewGrpStg=0&viewRd=1&viewRW=1&viewRiver=1&viewPoint=1&ext=0&itmkndCd=200&scamId=222819079&ownCd=22819&sysCamId=22819102,佐賀河川事務所・国土交通省 川の防災情報
japan-river-webcam-303585034,303585034,荻野橋,荻野川,厚木市及川,35.474508,139.340813,https://cam.river.go.jp/cam/now/303585034.jpg,,https://www.river.go.jp/kawabou/pc/tm?zm=13&fld=0&mapType=0&viewGrpStg=0&viewRd=1&viewRW=1&viewRiver=1&viewPoint=1&ext=0&itmkndCd=200&scamId=303585034&ownCd=3585&sysCamId=3585034,神奈川県・国土交通省 川の防災情報
japan-river-webcam-104353031,104353031,屋越川（目庄橋）,屋越川,石川県白山市一塚町,36.557532,136.561607,https://cam.river.go.jp/cam/now/104353031.jpg,,https://www.river.go.jp/kawabou/pc/tm?zm=13&fld=0&mapType=0&viewGrpStg=0&viewRd=1&viewRW=1&viewRiver=1&viewPoint=1&ext=0&itmkndCd=200&scamId=104353031&ownCd=4353&sysCamId=4353031,石川県・国土交通省 川の防災情報
japan-river-webcam-111265019,111265019,屋山橋,屋山川,大分県大分市屋山,33.2183333,131.7411111,https://cam.river.go.jp/cam/now/111265019.jpg,,https://www.river.go.jp/kawabou/pc/tm?zm=13&fld=0&mapType=0&viewGrpStg=0&viewRd=1&viewRW=1&viewRiver=1&viewPoint=1&ext=0&itmkndCd=200&scamId=111265019&ownCd=11265&sysCamId=11265019,大分県土木建築部河川課・国土交通省 川の防災情報
japan-river-webcam-101537089,101537089,屋代川（屋代川橋付近）,屋代川,高畠町大字二井宿,38.0137042,140.2410294,https://cam.river.go.jp/cam/now/101537089.jpg,,https://www.river.go.jp/kawabou/pc/tm?zm=13&fld=0&mapType=0&viewGrpStg=0&viewRd=1&viewRW=1&viewRiver=1&viewPoint=1&ext=0&itmkndCd=200&scamId=101537089&ownCd=1537&sysCamId=1537089,山形県・国土交通省 川の防災情報
japan-river-webcam-101537048,101537048,屋代川（中橋付近）,屋代川,高畠町大字高畠,38.0056429,140.1977104,https://cam.river.go.jp/cam/now/101537048.jpg,,https://www.river.go.jp/kawabou/pc/tm?zm=13&fld=0&mapType=0&viewGrpStg=0&viewRd=1&viewRW=1&viewRiver=1&viewPoint=1&ext=0&itmkndCd=200&scamId=101537048&ownCd=1537&sysCamId=1537048,山形県・国土交通省 川の防災情報
japan-river-webcam-221545031,221545031,屋島橋,千曲川,長野県長野市,36.6446,138.2553528,https://cam.river.go.jp/cam/now/cctv_200000_41C00688.jpg,,https://www.river.go.jp/kawabou/pc/tm?zm=13&fld=0&mapType=0&viewGrpStg=0&viewRd=1&viewRW=1&viewRiver=1&viewPoint=1&ext=0&itmkndCd=200&scamId=221545031&ownCd=21545&sysCamId=21545031,千曲川河川事務所・国土交通省 川の防災情報
japan-river-webcam-105121187,105121187,屋敷,中津川,長野県栄村大字堺,36.853292,138.621506,https://cam.river.go.jp/cam/now/105121187.jpg,,https://www.river.go.jp/kawabou/pc/tm?zm=13&fld=0&mapType=0&viewGrpStg=0&viewRd=1&viewRW=1&viewRiver=1&viewPoint=1&ext=0&itmkndCd=200&scamId=105121187&ownCd=5121&sysCamId=5121187,長野県建設部河川課・国土交通省 川の防災情報
japan-river-webcam-109473006,109473006,桶田橋,綾川,香川県綾歌郡綾川町羽床下,34.235864,133.913934,https://cam.river.go.jp/cam/now/109473006.jpg,,https://www.river.go.jp/kawabou/pc/tm?zm=13&fld=0&mapType=0&viewGrpStg=0&viewRd=1&viewRW=1&viewRiver=1&viewPoint=1&ext=0&itmkndCd=200&scamId=109473006&ownCd=9473&sysCamId=9473006,香川県・国土交通省 川の防災情報
